feature_name,feature_type,source_columns,calculation,timing,leakage_status,business_meaning
donor_unique_id,Categorical,Original dataset,Original identifier; no transformation,Static,Excluded,Retains record identity for tracking and validation but should not be used as a predictor.
donor_postal_code,Categorical,Original dataset,Original postal code; no transformation,Static,Excluded,Represents donor geography but has high cardinality and may introduce privacy or fairness concerns.
donor_age,Numeric,Original dataset,Original cleaned donor age,Static,Safe,May capture differences in donation behavior across life stages.
gender_identity,Categorical,Original dataset,Original cleaned gender category,Static,Excluded,Original version retained for traceability but replaced by the standardized gender feature.
is_member_flag,Binary,Original dataset,Original binary membership indicator,Static,Excluded,Intended to represent membership status but is constant in the current dataset.
is_alumnus_flag,Binary,Original dataset,Original binary alumnus indicator,Static,Safe,Alumni relationships may reflect an established connection with the organization.
is_parent_flag,Binary,Original dataset,Original binary parent indicator,Static,Safe,Parental status may represent a distinct relationship or engagement pattern.
has_involvement_flag,Binary,Original dataset,Original binary involvement indicator,Static,Requires validation,"Organizational involvement may indicate a stronger relationship, but its availability before the prediction cutoff must be confirmed."
preferred_address_type,Categorical,Original dataset,Original preferred address category,Static,Excluded,Original address category retained for traceability but replaced by the standardized feature.
has_email_flag,Binary,Original dataset,Original binary email-availability indicator,Static,Requires validation,"Email availability may indicate contactability, but its pre-cutoff timing must be confirmed."
consecutive_donor_years,Numeric,Original dataset,Original consecutive donor-year count,Historical,Requires validation,"May measure donor loyalty, but the field must be verified as containing only pre-cutoff information."
last_fiscal_year_donation,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_2_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_3_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_4_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
donation_5_fiscal_years_ago,Numeric,Original dataset,Original annual donation amount from a completed historical fiscal year,Historical,Safe,Captures donation amount during a specific historical period and preserves annual giving patterns.
current_fiscal_year_donation,Numeric,Original dataset,Original current-fiscal-year donation amount,Current-period,Excluded,Directly defines the prediction outcome and cannot be used as a predictor.
cumulative_donation_amount,Numeric,Original dataset,Original cumulative donation amount,Current-period,Excluded,May include current-period donations and therefore could directly or indirectly reveal the target.
donor_indicator_flag,Binary,Original dataset,Original historical donor-status indicator,Historical,Requires validation,"May identify prior donor status, but its calculation date and source periods must be confirmed."
target_current_fiscal_year_donor_flag,Binary,current_fiscal_year_donation,1 when current_fiscal_year_donation > 0; otherwise 0,Current-period,Excluded,Binary outcome identifying whether a person donated during the current fiscal year.
feature_past_5yr_total_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Row sum of the five historical donation amounts,Historical,Safe,Measures total known giving during the five-year historical window.
feature_past_5yr_average_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",feature_past_5yr_total_donation / 5,Historical,Safe,Measures average annual giving across the complete historical window.
feature_past_5yr_median_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Row median of the five historical donation amounts,Historical,Safe,Provides a donation-size measure that is less sensitive to extreme gifts.
feature_past_5yr_max_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Row maximum of the five historical donation amounts,Historical,Safe,Represents the donor's largest known historical gift.
feature_past_5yr_min_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Row minimum of the five historical donation amounts,Historical,Safe,Describes the donor's lowest annual giving value in the historical window.
feature_past_5yr_donation_std,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Population standard deviation across the five historical amounts,Historical,Safe,Measures variation in annual donation amounts.
feature_past_5yr_active_average_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Historical donation total divided by the number of years with donations greater than zero; 0 when no active years exist,Historical,Safe,Measures typical gift size only during years when the donor gave.
feature_years_donated_past_5yr,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Count of historical donation amounts greater than zero,Historical,Safe,Measures how many of the five historical years contained a donation.
feature_past_5yr_donation_frequency_rate,Numeric,feature_years_donated_past_5yr,feature_years_donated_past_5yr / 5,Historical,Safe,Expresses historical giving frequency as a proportion of the available years.
feature_any_past_donation_flag,Binary,feature_years_donated_past_5yr,1 when feature_years_donated_past_5yr > 0; otherwise 0,Historical,Safe,Separates people with any known historical donation from non-donors.
feature_multiple_year_donor_flag,Binary,feature_years_donated_past_5yr,1 when feature_years_donated_past_5yr >= 2; otherwise 0,Historical,Safe,Identifies donors who gave during multiple historical years.
feature_consistent_donor_flag,Binary,feature_years_donated_past_5yr,1 when feature_years_donated_past_5yr >= 3; otherwise 0,Historical,Safe,Identifies donors with repeated giving across most of the historical window.
feature_max_donation_streak_past_5yr,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Longest consecutive sequence of historical years with donation > 0,Historical,Safe,Measures continuity of historical donation activity.
feature_intermittent_donor_flag,Binary,"feature_years_donated_past_5yr, feature_max_donation_streak_past_5yr",1 when donated in at least two years and the maximum streak is shorter than the total active-year count; otherwise 0,Historical,Safe,Identifies repeat donors whose giving occurred in separated periods.
feature_years_since_last_donation_past_5yr,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago","0 for a donation in the most recent historical year, 1–4 for progressively older donations, and 6 when no historical donation exists",Historical,Safe,Measures how recently the person donated using the available annual data.
feature_donated_last_year_flag,Binary,last_fiscal_year_donation,1 when last_fiscal_year_donation > 0; otherwise 0,Historical,Safe,Identifies donors active in the most recent completed historical year.
feature_donated_within_2_years_flag,Binary,"last_fiscal_year_donation, donation_2_fiscal_years_ago",1 when either of the two most recent historical amounts is > 0,Historical,Safe,Identifies donors with relatively recent historical activity.
feature_lapsed_donor_flag,Binary,"feature_any_past_donation_flag, feature_donated_within_2_years_flag",1 when historical donation activity exists but no donation occurred during the two most recent historical years,Historical,Safe,Identifies prior donors whose recent activity has stopped.
feature_never_donated_past_5yr_flag,Binary,feature_years_donated_past_5yr,1 when feature_years_donated_past_5yr == 0; otherwise 0,Historical,Safe,Identifies people with no donation in the available historical window.
feature_most_recent_positive_donation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",First positive donation found when searching from the most recent historical year to the oldest; 0 when none exist,Historical,Safe,Captures the amount of the donor's most recent known gift.
feature_recent_vs_older_donation_difference,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Mean of the two most recent historical amounts minus the mean of the three older historical amounts,Historical,Safe,Measures whether recent giving is higher or lower than older giving.
feature_recent_vs_older_donation_ratio,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Mean of the two most recent historical amounts divided by the mean of the three older amounts; missing when the older average is zero,Historical,Safe,Measures proportional change between recent and older giving periods.
feature_past_5yr_donation_trend_slope,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Linear trend slope across the five donation amounts ordered from oldest to most recent,Historical,Safe,Measures whether annual donation amounts generally increased or decreased.
feature_last_year_donation_amount_change,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago",last_fiscal_year_donation - donation_2_fiscal_years_ago,Historical,Safe,Measures the most recent year-over-year change in donation amount.
feature_past_5yr_donation_coefficient_of_variation,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago, donation_3_fiscal_years_ago, donation_4_fiscal_years_ago, donation_5_fiscal_years_ago",Historical donation standard deviation divided by historical mean; 0 when the mean is zero,Historical,Safe,Measures donation volatility relative to average giving.
feature_previous_year_donation_zero_flag,Binary,donation_2_fiscal_years_ago,1 when donation_2_fiscal_years_ago == 0; otherwise 0,Historical,Safe,Identifies zero denominators that can create extreme trajectory ratios.
feature_last_vs_previous_donation_ratio,Numeric,"last_fiscal_year_donation, donation_2_fiscal_years_ago",last_fiscal_year_donation / (donation_2_fiscal_years_ago + 1),Historical,Safe,Measures proportional year-over-year donation change.
feature_log1p_last_vs_previous_donation_ratio,Numeric,feature_last_vs_previous_donation_ratio,np.log1p(feature_last_vs_previous_donation_ratio),Historical,Safe,Compresses extreme year-over-year donation ratios.
feature_log_past_5yr_total_donation,Numeric,feature_past_5yr_total_donation,np.log1p(feature_past_5yr_total_donation),Historical,Safe,Provides a skew-resistant version of the historical five-year donation total.
feature_log_past_5yr_average_donation,Numeric,feature_past_5yr_average_donation,np.log1p(feature_past_5yr_average_donation),Historical,Safe,Provides a skew-resistant version of the historical five-year average donation.
feature_log_past_5yr_max_donation,Numeric,feature_past_5yr_max_donation,np.log1p(feature_past_5yr_max_donation),Historical,Safe,Provides a skew-resistant version of the largest historical annual donation.
feature_log_most_recent_positive_donation,Numeric,feature_most_recent_positive_donation,np.log1p(feature_most_recent_positive_donation),Historical,Safe,Provides a skew-resistant version of the most recent positive historical donation.
feature_engagement_score,Numeric,"is_alumnus_flag, is_parent_flag, has_involvement_flag, has_email_flag",is_alumnus_flag + is_parent_flag + has_involvement_flag + has_email_flag,Static,Requires validation,Summarizes the number of observed relationship and engagement indicators.
feature_has_any_engagement_flag,Binary,feature_engagement_score,1 when feature_engagement_score > 0; otherwise 0,Static,Requires validation,Identifies people with at least one observed engagement connection.
feature_high_engagement_flag,Binary,feature_engagement_score,1 when feature_engagement_score >= 2; otherwise 0,Static,Requires validation,Identifies people with multiple observed engagement connections.
feature_alumnus_involvement_interaction,Binary,"is_alumnus_flag, has_involvement_flag",is_alumnus_flag * has_involvement_flag,Static,Requires validation,Identifies alumni who also have recorded organizational involvement.
feature_email_involvement_interaction,Binary,"has_email_flag, has_involvement_flag",has_email_flag * has_involvement_flag,Static,Requires validation,Identifies involved individuals who also have an email address.
feature_core_engagement_score,Numeric,"is_alumnus_flag, has_involvement_flag, has_email_flag",is_alumnus_flag + has_involvement_flag + has_email_flag,Static,Requires validation,Measures engagement without including parental status.
feature_core_high_engagement_flag,Binary,feature_core_engagement_score,1 when feature_core_engagement_score >= 2; otherwise 0,Static,Requires validation,Identifies people with at least two core engagement indicators.
feature_age_missing_flag,Binary,donor_age,1 when donor_age is missing; otherwise 0,Static,Excluded,Would identify missing age values but is constant in the current dataset.
feature_age_group,Categorical,donor_age,"Age bins: 16–17, 18–24, 25–34, 35–44, 45–54, 55–64, 65–74, and 75+",Static,Safe,Allows donation behavior to vary across interpretable life-stage groups.
feature_age_decade,Categorical,donor_age,floor(donor_age / 10) * 10,Static,Safe,Provides a broader categorical representation of donor age.
feature_age_squared,Numeric,donor_age,donor_age ** 2,Static,Safe,Allows models to capture nonlinear relationships between age and donation.
feature_donor_years_age_ratio,Numeric,"consecutive_donor_years, donor_age",consecutive_donor_years / donor_age,Historical,Requires validation,Places consecutive donor behavior in the context of donor age.
feature_gender_identity,Categorical,gender_identity,Trim and standardize case; retain Female and Male; map unknown spellings and missing values to Unknown; group remaining rare named categories into Other,Static,Safe,Provides a consistent gender category for modeling.
feature_gender_missing_flag,Binary,gender_identity,1 when the original gender value was missing or blank; otherwise 0,Static,Safe,Preserves whether gender information was originally absent.
feature_preferred_address_type,Categorical,preferred_address_type,Trim and standardize address categories; map missing or unusable values to Missing and infrequent categories to Other,Static,Safe,Provides a consistent preferred address category.
feature_preferred_address_missing_flag,Binary,preferred_address_type,1 when the original address type was missing or unusable; otherwise 0,Static,Safe,May reflect a meaningful contact-data collection pattern.
feature_donor_postal_code,Categorical,donor_postal_code,"Convert to string, trim whitespace, remove numeric .0 suffix, standardize missing tokens, and pad numeric codes to five digits",Static,Excluded,Preserves cleaned geography but remains too high-cardinality for the baseline model.
feature_postal_code_missing_flag,Binary,donor_postal_code,1 when the standardized postal code is missing; otherwise 0,Static,Safe,May capture differences in contact-record completeness.
feature_postal_prefix_3,Categorical,feature_donor_postal_code,First three digits extracted from a valid numeric postal code,Static,Excluded,Provides less granular geography for a separate comparison model.
feature_postal_prefix_3_grouped,Categorical,feature_postal_prefix_3,Prefixes with fewer than 87 records mapped to Other; missing prefixes mapped to Missing,Static,Excluded,Discarded because grouping reduced the feature mainly to prefix 902 versus Other.
feature_is_business_address,Binary,feature_preferred_address_type,1 when feature_preferred_address_type == 'Business'; otherwise 0,Static,Safe,Identifies records whose preferred address is a business address.
feature_is_home_address,Binary,feature_preferred_address_type,1 when feature_preferred_address_type == 'Home'; otherwise 0,Static,Safe,Identifies records whose preferred address is a home address.
feature_is_campus_address,Binary,feature_preferred_address_type,1 when feature_preferred_address_type == 'Campus'; otherwise 0,Static,Safe,Identifies records whose preferred address is a campus address.
feature_address_type_other,Binary,feature_preferred_address_type,1 when feature_preferred_address_type == 'Other'; otherwise 0,Static,Safe,Identifies records assigned to the Other address category.
feature_gender_unknown_flag,Binary,feature_gender_identity,1 when feature_gender_identity == 'Unknown'; otherwise 0,Static,Safe,Identifies all records with unknown or missing standardized gender.
